iter	Passed	Remaining
851	1252	217
852	1254	216
853	1257	215
854	1260	213
855	1261	212
856	1262	210
857	1264	209
858	1265	207
859	1267	206
860	1268	204
861	1270	203
862	1271	201
863	1272	200
864	1273	198
865	1274	197
866	1275	195
867	1276	194
868	1277	192
869	1278	191
870	1279	189
871	1281	188
872	1283	186
873	1284	185
874	1285	183
875	1287	182
876	1288	180
877	1289	179
878	1290	177
879	1291	176
880	1292	174
881	1293	173
882	1295	171
883	1296	170
884	1298	168
885	1300	167
886	1301	165
887	1302	164
888	1303	162
889	1304	161
890	1306	159
891	1307	158
892	1309	156
893	1310	155
894	1312	153
895	1313	152
896	1315	150
897	1316	149
898	1317	147
899	1318	146
900	1320	145
901	1321	143
902	1322	142
903	1324	140
904	1325	139
905	1326	137
906	1328	136
907	1329	134
908	1330	133
909	1331	131
910	1332	130
911	1333	128
912	1334	127
913	1337	125
914	1338	124
915	1340	122
916	1342	121
917	1343	119
918	1344	118
919	1346	117
920	1347	115
921	1348	114
922	1351	112
923	1354	111
924	1357	110
925	1359	108
926	1360	107
927	1362	105
928	1363	104
929	1366	102
930	1368	101
931	1369	99
932	1370	98
933	1372	96
934	1373	95
935	1375	94
936	1376	92
937	1378	91
938	1380	89
939	1381	88
940	1383	86
941	1384	85
942	1385	83
943	1387	82
944	1388	80
945	1390	79
946	1391	77
947	1393	76
948	1397	75
949	1398	73
950	1399	72
951	1400	70
952	1402	69
953	1403	67
954	1404	66
955	1405	64
956	1406	63
957	1408	61
958	1411	60
959	1414	58
960	1415	57
961	1416	55
962	1417	54
963	1419	53
964	1421	51
965	1424	50
966	1425	48
967	1427	47
968	1428	45
969	1429	44
970	1430	42
971	1431	41
972	1433	39
973	1434	38
974	1436	36
975	1438	35
976	1440	33
977	1441	32
978	1443	30
979	1444	29
980	1445	27
981	1446	26
982	1447	25
983	1448	23
984	1449	22
985	1450	20
986	1452	19
987	1457	17
988	1458	16
989	1459	14
990	1460	13
991	1461	11
992	1462	10
993	1464	8
994	1466	7
995	1467	5
996	1469	4
997	1470	2
998	1471	1
999	1472	0
